dataset,country,matrix,n_samples,n_valid_cf,median_total_pfas_ng_l,mean_total_pfas_ng_l,median_fluorine_burden_ng_l,mean_fluorine_burden_ng_l,median_f_fraction,mean_f_fraction,median_cf,mean_cf,p05_cf,p95_cf,median_effective_k,mean_effective_k
Veneto,Italy,water,17265,12235,69.0,1020.8481,43.7941,666.3774,0.6457778,0.6440085,1.5485202,1.5543097,1.4841318,1.6403765,3.6367,3.2545
UK,United Kingdom,water,10313,801,3.7,683.9293,2.4232,437.1015,0.6528534,0.6525267,1.5317374,1.5342834,1.4529993,1.6094586,1.0,2.0377
ADES,France,groundwater,306849,13222,8.9,58.6175,5.6514,38.2121,0.6457778,0.6467994,1.5485202,1.5478337,1.4609001,1.6200552,1.9877,2.7060
UCMR5_extract,USA,drinking_water,1345,1344,21.9,36.9957,13.9928,23.6200,0.6439569,0.6409481,1.5528990,1.5625676,1.4529993,1.6915678,3.3357,3.5163
WQP_PFAS_Multimedia,USA,environmental_hotspot_water,1009,930,1200.0,42305.2473,745.5923,25188.4660,0.6213270,0.6253682,1.6094586,1.6012943,1.5098450,1.7435512,1.1476,1.9684
